Appointment_ID,Orders,MDL_No (from Orders),Order No.,Last Name,First Name,First_Last_Calculated,Firm,Attorney,Canonical_Name (from Attorney),Appoint,Remove,Interim,Appointment Types,Appointee Type,Plaintiff/Defendant
1570-248-32,1570-248,1570,1570-248,Hanley,Paul,Paul Hanley,Hanly Conroy Bierstein & Sheridan LLP,31-Paul J. Hanly Jr,Paul J. Hanly Jr,checked,,,"Communications,Management",Individual,Plaintiff
1570-248-33,1570-248,1570,1570-248,Green,Justin,Justin Green,Kreindler & Kreindler LLP,32-Justin T. Green,Justin T. Green,checked,,,Communications,Individual,Plaintiff
1570-248-34,1570-248,1570,1570-248,Tarbutton,J.,J. Tarbutton,Cozen O'Connor,33-Joseph S. Tarbutton,Joseph S. Tarbutton,checked,,,Communications,Individual,Plaintiff
1570-248-35,1570-248,1570,1570-248,Migliori,Donald,Donald Migliori,Motley Rice LLC,34-Donald A. Migliori,Donald A. Migliori,checked,,,Management,Individual,Plaintiff
1570-248-36,1570-248,1570,1570-248,Flowers,Jodi,Jodi Flowers,Motley Rice LLC,35-Jodi W. Flowers,Jodi W. Flowers,checked,,,Management,Individual,Plaintiff
1570-248-37,1570-248,1570,1570-248,Conroy,Jayne,Jayne Conroy,Hanly Conroy Bierstein & Sheridan LLP,36-Jayne Conroy,Jayne Conroy,checked,,,Management,Individual,Plaintiff
1570-248-38,1570-248,1570,1570-248,Bierstein,Andrea,Andrea Bierstein,Hanly Conroy Bierstein & Sheridan LLP,37-Andrea B. Bierstein,Andrea B. Bierstein,checked,,,Management,Individual,Plaintiff
1570-248-39,1570-248,1570,1570-248,Huge,Harry,Harry Huge,,38-Harry Huge,Harry Huge,checked,,,Management,Individual,Plaintiff
1570-248-40,1570-248,1570,1570-248,Green,Justin,Justin Green,Kreinder & Kreindler LLP,32-Justin T. Green,Justin T. Green,checked,,,Management,Individual,Plaintiff
1570-248-41,1570-248,1570,1570-248,Moller,Marc,Marc Moller,Kreinder & Kreindler LLP,39-Marc S. Moller,Marc S. Moller,checked,,,Management,Individual,Plaintiff
1570-248-42,1570-248,1570,1570-248,Mellon,Thomas,Thomas Mellon,"Mellon, Webster & Shelley",40-Thomas E. Mellon Jr,Thomas E. Mellon Jr,checked,,,Management,Individual,Plaintiff
1570-248-43,1570-248,1570,1570-248,Pantazis,Dennis,Dennis Pantazis,"Wiggins, Childs, Quinn and Pantazis",41-Dennis G. Pantazis,Dennis G. Pantazis,checked,,,Management,Individual,Plaintiff
1570-248-44,1570-248,1570,1570-248,Hailey,Richard,Richard Hailey,Ramey & Hailey,42-Richard D. Hailey,Richard D. Hailey,checked,,,Management,Individual,Plaintiff
1570-248-45,1570-248,1570,1570-248,Lee,J.D.,J.D. Lee,"Lee, Lee & Lee",43-John D. Lee,John D. Lee,checked,,,Management,Individual,Plaintiff
1570-248-46,1570-248,1570,1570-248,Ambush,Joshua,Joshua Ambush,,44-Joshua M. Ambush,Joshua M. Ambush,checked,,,Management,Individual,Plaintiff
1570-248-47,1570-248,1570,1570-248,Cozen,Stephen,Stephen Cozen,Cozen O'Connor,45-Stephen A. Cozen,Stephen A. Cozen,checked,,,Management,Individual,Plaintiff
1570-248-48,1570-248,1570,1570-248,Feldman,Elliot,Elliot Feldman,Cozen O'Connor,29-Elliot R. Feldman,Elliot R. Feldman,checked,,,Management,Individual,Plaintiff
1570-248-49,1570-248,1570,1570-248,Carter,Sean,Sean Carter,Cozen O'Connor,30-Sean P. Carter,Sean P. Carter,checked,,,Management,Individual,Plaintiff
1570-248-50,1570-248,1570,1570-248,Tarbutton,J.,J. Tarbutton,Cozen O'Connor,33-Joseph S. Tarbutton,Joseph S. Tarbutton,checked,,,Management,Individual,Plaintiff
1570-248-51,1570-248,1570,1570-248,Mullen,Mark,Mark Mullen,Cozen O'Connor,46-Mark T. Mullen,Mark T. Mullen,checked,,,Management,Individual,Plaintiff
1566-249-52,1566-249,1566,1566-249,Boni,Michael,Michael Boni,"Kohn, Swift & Graf, P.C.",24-Michael J. Boni,Michael J. Boni,checked,,,LeadCounsel,Individual,Plaintiff
1663-12-53,1663-12,1663,1663-12,Kallas,Edith,Edith Kallas,Milberg Weiss Bershad & Schulman LLP,47-Edith M. Kallas,Edith M. Kallas,checked,,checked,Communications,Individual,Plaintiff
1663-182-54,1663-182,1663,1663-182,,, ,Lite Depalma Greenberg & Rivas,,,checked,,,Communications,Firm,Plaintiff
1663-182-55,1663-182,1663,1663-182,,, ,"Bonnett, Fairbourn, Friedman & Balint P.C.",,,checked,,,Communications,Firm,Plaintiff
1663-635-56,1663-635,1663,1663-635,,, ,"Whatley, Drake & Kallas LLC",,,checked,,,LeadCounsel,Firm,Plaintiff
1663-635-57,1663-635,1663,1663-635,,, ,Milberg Weiss Bershad & Schulman LLP,,,,checked,,LeadCounsel,Firm,Plaintiff
1700-2-58,1700-2,1700,1700-2,Harwood,Robert,Robert Harwood,,49-Robert I. Harwood,Robert I. Harwood,checked,,checked,Communications,Individual,Plaintiff
1700-52-59,1700-52,1700,1700-52,Faris,Lynn,Lynn Faris,,50-Lynn R. Faris,Lynn R. Faris,checked,,,LeadCounsel,Individual,Plaintiff
1700-52-60,1700-52,1700,1700-52,Ellingstad,Susan,Susan Ellingstad,,51-Susan E. Ellingstad,Susan E. Ellingstad,checked,,,LeadCounsel,Individual,Plaintiff
1700-52-61,1700-52,1700,1700-52,Harwood,Robert,Robert Harwood,,49-Robert I. Harwood,Robert I. Harwood,checked,,,LeadCounsel,Individual,Plaintiff
1700-52-62,1700-52,1700,1700-52,Hamilton,John,John Hamilton,,52-John C. Hamilton,John C. Hamilton,checked,,,Communications,Individual,Plaintiff
1700-52-63,1700-52,1700,1700-52,Cureton,Jerald,Jerald Cureton,,53-Jerald R. Cureton,Jerald R. Cureton,checked,,,Management,Individual,Plaintiff
1700-52-64,1700-52,1700,1700-52,Lewis,Jordan,Jordan Lewis,,54-Jordan M. Lewis,Jordan M. Lewis,checked,,,Management,Individual,Plaintiff
1700-52-65,1700-52,1700,1700-52,Rudd,J.,J. Rudd,,55-J. Gordon Rudd,J. Gordon Rudd,checked,,,Management,Individual,Plaintiff
1663-12-66,1663-12,1663,1663-12,Auslander,Jay,Jay Auslander,Willkie Farr & Gallagher LLP,56-Mitchell J. Auslander,Mitchell J. Auslander,checked,,checked,Communications,Individual,Defendant
1720-278-67,1720-278,1720,1720-278,,, ,"Robins, Kaplan, Miller & Ciresi L.L.P.",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-278-68,1720-278,1720,1720-278,,, ,"Berger & Montague, P.C.",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-278-69,1720-278,1720,1720-278,,, ,"Lerach, Coughlin, Stoia, Geller, Rudman & Robbins, L.L.P.",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-279-70,1720-279,1720,1720-279,,, ,"Robins, Kaplan, Miller & Ciresi",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-279-71,1720-279,1720,1720-279,,, ,"Berger & Montague, P.C.",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-279-72,1720-279,1720,1720-279,,, ,"Lerach, Coughlin, Stoia, Geller, Rudman & Robbins",,,checked,,,LeadCounsel,Firm,Plaintiff
1720-279-73,1720-279,1720,1720-279,,, ,"Pomerantz, Haudek, Block, Grossman & Gross",,,checked,,,"Communications,Coordination",Firm,Plaintiff
1720-279-74,1720-279,1720,1720-279,,, ,Kenny Nachwalter,,,checked,,,"Communications,Coordination",Firm,Plaintiff
1720-6754-75,1720-6754,1720,1720-6754,,, ,Robins Kaplan LLP,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-76,1720-6754,1720,1720-6754,,, ,Berger & Montague P.C.,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-77,1720-6754,1720,1720-6754,,, ,Robbins Geller Rudman & Dowd,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-78,1720-6754,1720,1720-6754,,, ,"Nussbaum Law Group, P.C.",,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-79,1720-6754,1720,1720-6754,,, ,Hilliard & Shadowen LLP,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-80,1720-6754,1720,1720-6754,,, ,Freed Kanner London & Millen LLC,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1720-6754-81,1720-6754,1720,1720-6754,,, ,Grant & Eisenhofer P.A.,,,checked,,checked,LeadCounsel,Firm,Plaintiff
1738-24-82,1738-24,1738,1738-24,,, ,"Boies, Schiller & Flexner LLP",,,checked,,,"LeadCounsel,Communications",Firm,Plaintiff
1738-24-83,1738-24,1738,1738-24,,, ,"Cohen, Milstein, Haulsfeld & Toll",,,checked,,,LeadCounsel,Firm,Plaintiff
1738-24-84,1738-24,1738,1738-24,,, ,Susman Godfrey L.L.P.,,,checked,,,LeadCounsel,Firm,Plaintiff
1738-24-85,1738-24,1738,1738-24,,, ,"Straus & Boies, L.L.P.",,,checked,,,"LeadCounsel,Communications",Firm,Plaintiff
1738-24-86,1738-24,1738,1738-24,,, ,"Saveri & Saveri, Inc.",,,checked,,,LeadCounsel,Firm,Plaintiff
1738-24-87,1738-24,1738,1738-24,,, ,Gustafson Gluek P.L.L.C.,,,checked,,,LeadCounsel,Firm,Plaintiff
1836-26-88,1836-26,1836,1836-26,Sutton,Tara,Tara Sutton,"Robins, Kaplan, Miller & Ciresi LLP",57-Tara D. Sutton,Tara D. Sutton,checked,,,"LeadCounsel,Communications",Individual,Plaintiff
1836-26-89,1836-26,1836,1836-26,,, ,"Robins, Kaplan Miller & Ciresi",,,checked,,,"LeadCounsel,Communications",Firm,Plaintiff
1836-26-90,1836-26,1836,1836-26,Pfaffly ,Philip,Philip Pfaffly ,Chestnut & Cambronne,58-Philip A. Pfaffly,Philip A. Pfaffly,checked,,,Bellwether,Individual,Plaintiff
1836-26-91,1836-26,1836,1836-26,,, ,Chestnut & Cambronne ,,,checked,,,Bellwether,Firm,Plaintiff
1836-26-92,1836-26,1836,1836-26,Sherman,Arthur,Arthur Sherman,Sherman & Salkow,59-Arthur Sherman,Arthur Sherman,checked,,,Bellwether,Individual,Plaintiff
1836-26-93,1836-26,1836,1836-26,,, ,Sherman & Salkow,,,checked,,,Bellwether,Firm,Plaintiff
1836-26-94,1836-26,1836,1836-26,Brown,Michael,Michael Brown,Reed Smith,60-Michael K. Brown,Michael K. Brown,checked,,,LeadCounsel,Individual,Defendant
1836-26-95,1836-26,1836,1836-26,Gross,Peter,Peter Gross,Faegre & Benson,61-Peter J. Goss,Peter J. Goss,checked,,,Communications,Individual,Defendant
1836-26-96,1836-26,1836,1836-26,Price,Joseph,Joseph Price,Faegre & Benson,62-Joseph M. Price,Joseph M. Price,checked,,,Communications,Individual,Defendant
1836-26-97,1836-26,1836,1836-26,Gray,James,James Gray,Venable LLP,63-James E. Gray,James E. Gray,checked,,,LeadCounsel,Individual,Defendant
1836-26-98,1836-26,1836,1836-26,Smith,Scott,Scott Smith,"Halleland, Lewis, Nilan, & Johnson",64-Scott A. Smith,Scott A. Smith,checked,,,Communications,Individual,Defendant
1836-26-99,1836-26,1836,1836-26,Van Steenburgh,Tracy,Tracy Van Steenburgh,"Halleland, Lewis, Nilan, & Johnson",65-Tracy J. Van Steenburgh,Tracy J. Van Steenburgh,checked,,,Communications,Individual,Defendant
1869-70-100,1869-70,1869,1869-70,,, ,"Cohen, Milstein, Hausfeld & Toll",,,checked,,checked,"LeadCounsel,ClassCounsel,Communications",Firm,Plaintiff
1869-70-101,1869-70,1869,1869-70,,, ,Quinn Emanuel Urquhart Oliver & Hedges,,,checked,,checked,"LeadCounsel,ClassCounsel",Firm,Plaintiff
1869-70-102,1869-70,1869,1869-70,,, ,Lovell Stewart Halebian LLP,,,checked,,checked,"LeadCounsel,ClassCounsel",Firm,Plaintiff
1869-70-103,1869-70,1869,1869-70,,, ,"The Mason Law Firm, LLP",,,checked,,checked,"ClassCounsel,LeadCounsel",Firm,Plaintiff
1869-70-104,1869-70,1869,1869-70,,, ,"Stamell & Schager, LLP",,,checked,,checked,"LeadCounsel,ClassCounsel",Firm,Plaintiff
1869-71-105,1869-71,1869,1869-71,,, ,"Cohen, Milstein, Hausfeld & Toll",,,checked,,checked,"LeadCounsel,ClassCounsel",Firm,Plaintiff
1869-71-106,1869-71,1869,1869-71,,, ,Quinn Emanuel Urquhart Oliver & Hedges,,,checked,,checked,"LeadCounsel,ClassCounsel",Firm,Plaintiff
1869-72-107,1869-72,1869,1869-72,,, ,Lovell Stewart Halebian LLP,,,checked,,checked,"LeadCounsel,ClassCounsel,Communications",Firm,Plaintiff
1869-72-108,1869-72,1869,1869-72,,, ,"The Mason Law Firm, LLP",,,checked,,checked,"LeadCounsel,Communications,ClassCounsel",Firm,Plaintiff
1869-72-109,1869-72,1869,1869-72,,, ,Stamell & Schager,,,checked,,checked,"LeadCounsel,ClassCounsel,Communications",Firm,Plaintiff
1869-99-110,1869-99,1869,1869-99,,, ,"Freed Kanner London & Millen, LLC",,,checked,,,Management,Firm,Plaintiff
1869-99-111,1869-99,1869,1869-99,,, ,"Kaplan Fox & Kilsheimer, LLP",,,checked,,,Management,Firm,Plaintiff
1869-99-112,1869-99,1869,1869-99,,, ,"Heins Mills & Olson, P.L.C.",,,checked,,,Management,Firm,Plaintiff
1869-99-113,1869-99,1869,1869-99,,, ,"Carella, Byrne, Bain, Gilfillan, Cecchi, Stewart & Olstein",,,checked,,,Management,Firm,Plaintiff
1869-99-114,1869-99,1869,1869-99,,, ,"Gold Bennett Cera & Sidener, LLP",,,checked,,,Management,Firm,Plaintiff
1871-45-115,1871-45,1871,1871-45,Gussack,Nina,Nina Gussack,Pepper Hamilton,66-Nina M. Gussack,Nina M. Gussack,checked,,,Communications,Firm,Defendant
1871-108-116,1871-108,1871,1871-108,Abrams,Rachel,Rachel Abrams,Hersh and Hersh,67-Rachel B. Abrams,Rachel B. Abrams,checked,,,Management,Individual,Plaintiff
1871-108-117,1871-108,1871,1871-108,Andrus,Vance,Vance Andrus,Vance Andrus,68-Vance R. Andrus,Vance R. Andrus,checked,,,Management,Individual,Plaintiff
1871-108-118,1871-108,1871,1871-108,Aylstock,Bryan,Bryan Aylstock,"Aylstock, Witkin, Kreis and Overholtz",69-Bryan F. Aylstock,Bryan F. Aylstock,checked,,,Management,Individual,Plaintiff
1871-108-119,1871-108,1871,1871-108,Grossman,Marc,Marc Grossman,Sanders Viener Grossman LLP,70-Marc D. Grossman,Marc D. Grossman,checked,,,Management,Individual,Plaintiff
1871-108-120,1871-108,1871,1871-108,Lanier ,Mark,Mark Lanier ,The Lanier Law Firm,71-W. Mark Lanier,W. Mark Lanier,checked,,,Management,Individual,Plaintiff
1871-108-121,1871-108,1871,1871-108,Matthews,David,David Matthews,David Matthews & Associates,216-David P. Matthews,David P. Matthews,checked,,,Management,Individual,Plaintiff
1871-108-122,1871-108,1871,1871-108,Medley,Shannon,Shannon Medley,Medley & Sill,73-Shannon S. Medley,Shannon S. Medley,checked,,,Management,Individual,Plaintiff
1871-108-123,1871-108,1871,1871-108,Miller,Michael,Michael Miller,The Miller Firm,218-Michael J. Miller,Michael J. Miller,checked,,,Management,Individual,Plaintiff
1871-108-124,1871-108,1871,1871-108,Morelli,Benedict,Benedict Morelli,Morelli Ratner,75-Benedict P. Morelli,Benedict P. Morelli,checked,,,Management,Individual,Plaintiff
1871-108-125,1871-108,1871,1871-108,Nast,Dianne,Dianne Nast,Roda Nast,18-Dianne M. Nast,Dianne M. Nast,checked,,,Management,Individual,Plaintiff
1871-108-126,1871-108,1871,1871-108,Rezvani,Tracy,Tracy Rezvani,Finkelstein Thompson,76-Tracy D. Rezvani,Tracy D. Rezvani,checked,,,Management,Individual,Plaintiff
1871-108-127,1871-108,1871,1871-108,J. Paul,Sizemore,Sizemore J. Paul,Girardi Keese,77-James P. Sizemore,James P. Sizemore,checked,,,Management,Individual,Plaintiff
1871-108-128,1871-108,1871,1871-108,Thompson,Fred,Fred Thompson,Motley Rice,78-Fred Thompson III,Fred Thompson III,checked,,,Management,Individual,Plaintiff
1871-108-129,1871-108,1871,1871-108,Zonies,Joseph,Joseph Zonies,Reilly Pozner & Connelly,79-Joseph J. Zonies,Joseph J. Zonies,checked,,,Management,Individual,Plaintiff
1871-156-130,1871-156,1871,1871-156,Menzies,Karen,Karen Menzies,"Robinson, Calcagnie, & Robinson ",80-Karen B. Menzies,Karen B. Menzies,checked,,,Management,Individual,Plaintiff
1871-423-131,1871-423,1871,1871-423,Nast,Dianne,Dianne Nast,Roda Nast,18-Dianne M. Nast,Dianne M. Nast,checked,,,Coordination,Individual,Plaintiff
1871-522-132,1871-522,1871,1871-522,Cartmell,Thomas,Thomas Cartmell,Wagstaff & Cartmell,81-Thomas P. Cartmell,Thomas P. Cartmell,checked,,,Management,Individual,Plaintiff
1871-522-133,1871-522,1871,1871-522,Lanham,Samuel,Samuel Lanham,"Lanham, Blackwell, P.A.",82-Samuel W. Lanham Jr,Samuel W. Lanham Jr,checked,,,Management,Individual,Plaintiff
1871-495-134,1871-495,1871,1871-495,Chirls,Andrew,Andrew Chirls,,83-Andrew A. Chirls,Andrew A. Chirls,checked,,,Fees,Individual,Plaintiff
1871-723-135,1871-723,1871,1871-723,Branch,Turner,Turner Branch,Branch Law Firm,6-Turner W. Branch,Turner W. Branch,checked,,,Management,Individual,Plaintiff
1871-882-136,1871-882,1871,1871-882,Morelli,Benedict,Benedict Morelli,Morelli Ratner,75-Benedict P. Morelli,Benedict P. Morelli,checked,,,SettlementAdministration,Individual,Plaintiff
1871-883-137,1871-883,1871,1871-883,Goss,Tim,Tim Goss,Freese & Goss,84-Tim K. Goss,Tim K. Goss,checked,,,SettlementAdministration,Individual,Plaintiff
1871-1221-138,1871-1221,1871,1871-1221,Corr,Stephen,Stephen Corr,"Mellon, Webster & Shelly",85-Stephen A. Corr,Stephen A. Corr,checked,,,Management,Individual,Plaintiff
1871-1221-139,1871-1221,1871,1871-1221,Fisher ,Samuel,Samuel Fisher ,"Wiggins, Childs, Quinn & Pantazis, LLC",86-Samuel Fisher,Samuel Fisher,checked,,,Management,Individual,Plaintiff
1871-1221-140,1871-1221,1871,1871-1221,"Kiesel, ",Paul,"Paul Kiesel, ",Kiesel Boucher Larson LLP,87-Paul R. Kiesel,Paul R. Kiesel,checked,,,Management,Individual,Plaintiff
1871-1221-141,1871-1221,1871,1871-1221,Lanham ,Samuel,Samuel Lanham ,Lanham Blackwell,82-Samuel W. Lanham Jr,Samuel W. Lanham Jr,checked,,,Management,Individual,Plaintiff
1871-1221-142,1871-1221,1871,1871-1221,Mellon ,Thomas,Thomas Mellon ,"Mellon, Webster & Shelly",40-Thomas E. Mellon Jr,Thomas E. Mellon Jr,checked,,,Management,Individual,Plaintiff
1871-1221-143,1871-1221,1871,1871-1221,"McCormick, Jr.",Brian,"Brian McCormick, Jr.",Sheller P.C.,90-Brian J. McCormick Jr,Brian J. McCormick Jr,checked,,,Management,Individual,Plaintiff
1871-1221-144,1871-1221,1871,1871-1221,Rezvani,Tracy,Tracy Rezvani,Finkelstein Thompson LLP,76-Tracy D. Rezvani,Tracy D. Rezvani,checked,,,Management,Individual,Plaintiff
1871-1221-145,1871-1221,1871,1871-1221,Robins,Bill,Bill Robins,"Heard, Robins, Cloud & Black LLP",91-Bill Robins III,Bill Robins III,checked,,,Management,Individual,Plaintiff
1871-1221-146,1871-1221,1871,1871-1221,Shaughnessy,James,James Shaughnessy,Milberg LLP,92-James M. Shaughnessy,James M. Shaughnessy,checked,,,Management,Individual,Plaintiff
1871-1221-147,1871-1221,1871,1871-1221,Andrus,Vance,Vance Andrus,Vance Andrus,68-Vance R. Andrus,Vance R. Andrus,checked,,,Management,Individual,Plaintiff
1871-1221-148,1871-1221,1871,1871-1221,Aylstock,Brian,Brian Aylstock,"Aylstock, Witkin, Kreis & Overholtz",69-Bryan F. Aylstock,Bryan F. Aylstock,checked,,,Management,Individual,Plaintiff
1871-1221-149,1871-1221,1871,1871-1221,Cartmell,Thomas,Thomas Cartmell,Wagstaff& Cartmell LLP,81-Thomas P. Cartmell,Thomas P. Cartmell,checked,,,Management,Individual,Plaintiff
1871-1221-150,1871-1221,1871,1871-1221,Nast,Dianne,Dianne Nast,"Roda Nast, P.C.",18-Dianne M. Nast,Dianne M. Nast,checked,,,"Management,Coordination",Individual,Plaintiff
1871-1221-151,1871-1221,1871,1871-1221,Zonies,Joseph,Joseph Zonies,Reilly Pozner & Connelly.,79-Joseph J. Zonies,Joseph J. Zonies,checked,,,Management,Individual,Plaintiff
1871-1221-152,1871-1221,1871,1871-1221,Mellon,Thomas,Thomas Mellon,"Mellon, Webster & Shelly",40-Thomas E. Mellon Jr,Thomas E. Mellon Jr,checked,,,Communications,Individual,Plaintiff
1871-1221-153,1871-1221,1871,1871-1221,Corr,Stephen,Stephen Corr,"Mellon, Webster & Shelly",85-Stephen A. Corr,Stephen A. Corr,checked,,,Communications,Individual,Plaintiff
1431-16-154,1431-16,1431,1431-16,Beck,Philip,Philip Beck,BARLET BECK HERMAN PALENCHAR & SCOTT,94-Philip S. Beck,Philip S. Beck,checked,,,LeadCounsel,Individual,Defendant
