Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
1720-6754,1720,6754,Antitrust,2016-11-30,JO,MJ,checked,checked,checked,2,,,,,,LeadCounsel,,,"After the Second Circuit reversed a class action settlement, concluding that conflicts existed between class members seeking damages and injunctive relief, the Magistrate Judge appointed separate firms to represent a 23(b)(2) and (b)(3) class. ",checked,,7
1738-24,1738,24,Antitrust,2006-06-07,JO,MJ,,,checked,4,,checked,,,,"LeadCounsel,Communications",,,"This is an uncontested appointment of lead and liaison class counsel for the MDL under F.R.C.P. 23(g). But it incorporates, by reference, a proposed order outlining responsibilities of the Co-Lead and Liaison counsel that isn't in our database.",checked,,6
1836-26,1836,26,Products Liability,2007-08-23,FLN,MJ,,,,4,,checked,checked,,,"LeadCounsel,Communications,Discovery,Fees,Bellwether,Settlement,Trial",,,"This order interestingly creates separate lead and liaison counsel positions for single defendants, Pfizer and Boehringer. The Court also avoids creating a plaintiff steering committee because the three plaintiff law firms named in the order ""represent nearly all"" of the plaintiffs who have filed in federal court.",checked,checked,12
1869-70,1869,70,Antitrust,2008-03-11,PLF,DJ,checked,checked,checked,3,,,,,,"LeadCounsel,Management,ClassCounsel,Communications",,,"The court rejected an application to appoint a separate liaison counsel because the lead counsel was already located in Washington D.C. and could serve that same role. The court entertained applications for a separate ""Executive Committee,"" which I've coded as ""Management."" A separate order issued that same day, which references this order, specifies the functions of lead counsel and calls for the leadership to appoint a single liaison counsel. ",checked,,5
1869-71,1869,71,Antitrust,2008-03-11,PLF,DJ,checked,checked,checked,3,,checked,,,,"LeadCounsel,Management,ClassCounsel,Communications",,,"Although the accompanying memorandum and order says no need for liaison counsel, this order makes clear that the lead attorneys should select a single attorney to serve as a liaison counsel.",checked,,2
1869-72,1869,72,Antitrust,2008-03-11,PLF,DJ,checked,checked,checked,2,,checked,,,,"LeadCounsel,ClassCounsel,Communications",,,"This order is connected to the memorandum and order issued on the same day, DKT 70, which specifies the duties of lead counsel for the indirect purchasers and requires it selects, from among themselves, an attorney to serve as liaison counsel.",checked,,3
1869-99,1869,99,Antitrust,2008-04-28,PLF,DJ,checked,checked,checked,1,,,,,,Management,,,"In a previous order, the Court asked lead counsel to nominate members to the executive committee, which was contested by five out of fifty firms. The Court ratified the lead counsel's selection over the objectors.",checked,,5
1871-45,1871,45,Products Liability,2007-11-05,CMR,DJ,checked,checked,,3,,checked,,,,"Communications,Management",,,"This order sets out the duties of the PSC and liaison counsel for plaintiffs and defendants and invites applications for the PSC. It also appoints liaison counsel for defendants. Interestingly, even though plaintiffs asked for a ""lead counsel"" designation, the Court never invites submissions for that.",checked,checked,1
1871-108,1871,108,Products Liability,2008-04-09,CMR,DJ,checked,checked,,1,,checked,,,,Management,,,"This order officially appoints 14 lawyers to the steering committee and one lawyer as plaintiffs liaison counsel, while reserving two spots for future appointment. The Court observes that interviews for the steering committee took place in ""open court.""",checked,,14
1871-156,1871,156,Products Liability,2008-07-02,CMR,DJ,,checked,,,,,,,,Management,,,"Following nomination to committee and affording opportunities for others to respond, the Court appointed an additional lawyer to the PSC without objection.",checked,,1
1871-423,1871,423,Products Liability,2009-05-22,CMR,DJ,,checked,,1,,checked,,,,Coordination,,,"The court not only specifies the obligations and non-obligations of the SLC, but how she should represent herself in state courts: ""The SLC should make it clear when dealing with state court Judges, litigants and lawyers that the SLC is a lawyer for the plaintiffs, not a Court officer or neutral spokesperson for this or any other court.""",checked,,1
1871-522,1871,522,Products Liability,2009-09-25,CMR,DJ,,checked,,,,,,,,Management,,,The Court solicited applications and interviewed new candidates for the PSC in open court.,checked,,2
1871-495,1871,495,Products Liability,2009-08-26,CMR,DJ,,,,1,,checked,,,,Fees,,,Establishes a common benefit fund to be managed by Andrew A. Chirls and reimburse participating attorneys for work specified in the order.,checked,,1
1871-695,1871,695,Products Liability,2010-06-24,CMR,DJ,,checked,,,,checked,,,,Management,,,The Court invites members of the steering committee to withdraw; notifies them that they still must comply with their obligations on the committee until they do so; and instructs them to inform the court about any uncompleted obligations on the committee. ,,,0
1871-723,1871,723,Products Liability,2010-07-26,CMR,DJ,checked,checked,,,,,,,,Management,,,Mark Lanier steps down from the PSC and is replaced by Turner Branch.,checked,,1
1871-882,1871,882,Products Liability,2010-11-15,CMR,DJ,,,,1,,checked,,,,SettlementAdministration,,,"This creates a qualified settlement fund, overseen by one of the attorneys on the PSC, to resolve his clients' claims and subrogation claims asserted by insurers and government entities under a master settlement agreement brokered with Glasko Smith Kline.",,,1
1871-883,1871,883,Products Liability,2010-11-15,CMR,DJ,,,,1,,checked,,,,SettlementAdministration,,,"Establishes a qualified settlement fund, under a master settlement agreement with the defendant, to resolve plaintiffs' claims and those brought in subrogation. ",,,1
1871-1221,1871,1221,Products Liability,2011-03-02,CMR,DJ,,checked,,,,,,,,"Management,Coordination,Communications",,,"The order appoints new members to the PSC, maintains some old members to ""facilitate an orderly and effective transition in leadership""; and maintains same federal and state liaison counsel.",checked,,16
1964-24,1964,24,Products Liability,2008-10-08,RWS,DJ,,,,3,,,,,,"LeadCounsel,Management,Communications",,,,checked,,9
1964-220,1964,220,Products Liability,2009-07-07,RWS,DJ,,,,,,,,,,Management,,,,checked,,1
1964-721,1964,721,Products Liability,2010-02-19,RWS,DJ,,,,,,,,,,Management,,,,checked,,4
1964-817,1964,817,Products Liability,2010-07-27,RWS,DJ,,,,,,,,,,Management,,,,checked,,1
1964-872,1964,872,Products Liability,2010-11-24,RWS,DJ,,,,,,,,,,Management,,,,checked,,1
1964-875,1964,875,Products Liability,2010-12-02,RWS,DJ,,,,,,,,,,Management,,,,checked,,1
1964-1128,1964,1128,Products Liability,2011-12-09,RWS,DJ,,,,,,,,,,"LeadCounsel,Management",,,Something messy going on behind the scenes. Additions and removals to PSC and multiple motions. ,checked,,5
1964-1183,1964,1183,Products Liability,2012-03-06,RWS,DJ,,,,,,,,,,Management,,,,checked,,2
1964-1681,1964,1681,Products Liability,2014-02-07,RWS,DJ,,,,1,,checked,,,,Settlement,,,"Joint committee with New Jersey Superior Court, Bergen County",checked,,3
2047-21,2047,21,Products Liability,2009-07-06,EEF,DJ,,checked,,1,,checked,,,,Communications,,,,,,1
2047-24,2047,24,Products Liability,2009-07-06,EEF,DJ,,,,2,,checked,,,,LeadCounsel,,,,checked,checked,2
2047-144,2047,144,Products Liability,2009-07-27,EEF,DJ,checked,checked,,1,,checked,,,,Management,,,"""the appointment to the PSC is for one year from the date of this Order""",checked,,13
2047-1870,2047,1870,Products Liability,2010-03-19,EEF,DJ,,,,1,,checked,,,,Communications,,,"Liaison Counsel for Installers. Ex Parte motion. Order indicates there is a duly appointed Homebuilders and
Installers Liaison Counsel, which we should track down.",,,1
2047-1871,2047,1871,Products Liability,2010-03-19,EEF,DJ,,,,2,,checked,,,,Coordination,,,,checked,checked,11
2047-5144,2047,5144,Products Liability,2010-08-13,EEF,DJ,,,,,,,,,,Management,,,,,checked,1
2047-5286,2047,5286,Products Liability,2010-11-20,EEF,DJ,,,,,,,,,,Management,,,,,checked,0
2047-5286,2047,5286,Products Liability,2010-08-20,EEF,DJ,,,,,,,,,,Management,,,,,checked,0
2047-5538,2047,5538,Products Liability,2010-09-14,EEF,DJ,,,,,,,,,,Management,,,Not clear whether this is a P or D committee,,,8
2047-16616,2047,16616,Products Liability,2013-03-15,EFF,DJ,,,,2,,,,,,SettlementAdministration,,,,,,8
2047-16781,2047,16781,Products Liability,2013-04-25,EEF,DJ,,,,1,,,,,,SettlementAdministration,,,,,,4
2047-16782,2047,16782,Products Liability,2013-04-25,EEF,DJ,,,,,,,,,,SettlementAdministration,,,,checked,,4
2047-17177,2047,17177,Products Liability,2013-10-21,EEF,DJ,,,checked,1,,,,,,"ClassCounsel,SettlementAdministration",checked,,,checked,,4
2047-17600,2047,17600,Products Liability,2014-04-07,EFF,DJ,checked,checked,,,,,,,,Management,,,"Reappointments, because PTOs 8 and 8C make all appointments for one year",checked,,17
2047-18028,2047,18028,Products Liability,2014-09-26,EFF,DJ,,,checked,,,,,,,ClassCounsel,checked,,,checked,,2
2047-18782,2047,18782,Products Liability,2015-04-28,EEF,DJ,,,,,,,,,,Management,,,,checked,,17
2047-19234,2047,19234,Products Liability,2015-06-26,EFF,DJ,,,,1,,checked,,,,Communications,,,,,checked,1
2047-22481,2047,22481,Products Liability,2020-01-16,EEF,DJ,,,,1,,checked,,,,Fees,,,,,,5
2047-2369,2047,2369,Products Liability,2010-04-07,EFF,DJ,,,,1,,,,,,"Management,LeadCounsel",,,"Insurer Steering Committee. ""The Court directs the members of the Insurer Steering Committee to determine among themselves which subcommittees are necessary and which members are to be appointed to these subcommittees.""",checked,,11
2158-9,2158,9,Products Liability,2011-02-18,MCA,MJ,,,,2,,checked,,,checked,Communications,,,"Creates a mandatory mediation process.

""No pleadings or other papers shall be filed or discovery conducted concerning liability on behalf of all plaintiffs except as prepared on behalf of and signed by the Plaintiffs' Liaison Counsel, or their designees.""",checked,checked,8
2187-5,2187,5,Products Liability,2010-12-09,JRG,DJ,,checked,,2,,checked,,,,Communications,,,,checked,checked,4
2187-22,2187,22,Products Liability,2011-02-01,JRG,DJ,checked,checked,,,,checked,,checked,checked,LeadCounsel,,,,checked,checked,7
2187-70,2187,70,Products Liability,2011-07-25,JRG,DJ,,checked,,,,,,,,Management,,,,checked,,1
2187-113,2187,113,Products Liability,2011-11-17,JGR,DJ,,,,,,checked,,,,LeadCounsel,,,,,,1
2187-181,2187,181,Products Liability,2012-03-05,JRG,DJ,,,,,,,,,,LeadCounsel,,,,,,2
2187-222,2187,222,Products Liability,2012-04-18,JRG,DJ,,,,2,,checked,,,,"LeadCounsel,Management",,,"Crazy order. Case starts as one transvaginal mesh MDL, and then four MDLs end up in front of the same judge. The judge creates a massive Plaintiffs' Steering Committee that spans four MDLs",,,69
2187-229,2187,229,Products Liability,2012-05-04,JRG,DJ,,,,,,,,,,Management,,,,,,62
2187-654,2187,654,Products Liability,2013-09-17,JRG,DJ,,,,,,checked,,,checked,Communications,,,,,,2
2187-656,2187,656,Products Liability,2013-09-20,JRG,DJ,,,,,,,,,,Management,,,,checked,,11
2187-701,2187,701,Products Liability,2013-12-06,JRG,DJ,,,,,,,,,,Management,,,"This would be a good order to illustrate how we coded. 

""Since the initial organization, this Court has been assigned additional MDLs relating to transvaginal mesh, and is currently overseeing nearly 40,000 cases, across six MDLs. With scheduled matters, including Bellwether trials, extensive discovery, consolidation and motion practice and considering the current posture of the litigation, I FIND, after careful consideration, that it is appropriate to add plaintiffs’ co-liaison counsel to the Plaintiffs’ Executive Committee.""",,,3
2187-748,2187,748,Products Liability,2014-01-28,JRG,DJ,,,,,,,,,,Management,,,,checked,,4
2187-1744,2187,1744,Products Liability,2016-01-15,JRG,DJ,,,,1,,checked,,,,Fees,,,Detailed protocol for applying for common benefit fees,checked,,9
2197-71,2197,71,Products Liability,2011-01-26,DAK,DJ,,checked,,9,,,,,,"LeadCounsel,Communications,Management,Discovery,Expert",,,"Also creates a ""Law and Motions"" committee. Should we have a category for this?",checked,checked,37
2197-958,2197,958,Products Liability,2015-10-14,DAK,DJ,,,,1,,checked,,,,Fees,,,,checked,,14
2243-93,2243,93,Products Liability,2011-07-06,LHG,MJ,,,,2,,checked,,,,LeadCounsel,,,,checked,,2
2243-110,2243,110,Products Liability,2011-07-14,GEB,DJ,,,,1,,checked,,,,Communications,,,,,checked,2
2243-112,2243,112,Products Liability,2011-07-14,GEB,DJ,,,,,,checked,,,,,,,"Written by attorneys.  Appointments are wonky: ""The Court designates the following attorneys and firms as the Plaintiffs' Steering Committee."" Coded them as individual appointments because appointment type currently wasn't a multiple-value field. ",,,11
2243-215,2243,2243,Products Liability,2011-09-22,GEB,DJ,,,,,,,,,,Management,,,,checked,,1
2243-216,2243,216,Products Liability,2011-09-22,GEB,DJ,,,,,,,,,,Management,,,,checked,,1
2244-80,2244,80,Products Liability,2012-01-09,K,DJ,,checked,,9,,,,,,"LeadCounsel,Communications,Management,Discovery,Expert,Motions,Trial,Coordination",,,,checked,,51
2244-254,2244,254,Products Liability,2013-01-23,K,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Discovery,Motions,Fees,Coordination,Trial",,,,checked,,46
2244-414,2244,414,Products Liability,2014-06-20,K,DJ,,,,,,,,,,"LeadCounsel,Management,Discovery,Motions,Expert,Coordination,Trial,Communications",,,,checked,,42
2244-575,2244,575,Products Liability,2015-11-09,K,DJ,,,,0,,,,,,"LeadCounsel,Management,Communications,Discovery,Motions,Expert,Coordination,Trial",,,Reappointment,checked,,48
2244-731,2244,731,Products Liability,2017-01-19,K,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Discovery,Expert,Motions,Trial,Coordination",,,,checked,,45
2151-169,2151,169,Products Liability,2010-05-14,JVS,DJ,checked,checked,,7,,checked,,,,"LeadCounsel,Communications,Discovery,Coordination",,checked,Discusses conflicts of interest between economic loss and wrongful death plaintiffs,checked,checked,23
2272-48,2272,48,Products Liability,2011-09-02,RP,DJ,checked,checked,,4,,checked,checked,,checked,"LeadCounsel,Management,Communications",,checked,Minute entry granting application at Doc. No. 27,checked,checked,21
2331-20,2331,20,Products Liability,2012-06-22,VVP,MJ,,,,3,,,,,,"Management,Communications",,,Order creates a Plaintiffs' Executive Committee and Plaintiffs' Steering Committee. Both coded as Management.,checked,,16
2387-10,2387,10,Products Liability,2012-09-21,JRG,DJ,checked,checked,,3,,checked,,checked,,"LeadCounsel,Communications",,,"Says there will be Defendant Liaison but doesn't appoint anyone. Coded this as an OU without an appointment.

""All attorneys representing parties to this litigation, regardless of their role in the management structure of the litigation and regardless of this court's designation of Lead and Liaison Counsel, a Plaintiffs= Executive Committee and a Plaintiffs' Steering Committee, continue to bear the responsibility to represent their individual client or clients.""",checked,checked,6
2387-21,2387,21,Products Liability,2012-11-05,JRG,DJ,,checked,,,,,,,,Communications,,,,,checked,3
2387-425,2387,2387,Products Liability,2015-12-04,JRG,DJ,,,,,,checked,,,,LeadCounsel,,,,,,0
2387-441,2387,2387,Products Liability,2016-01-15,JRG,DJ,,,,1,,checked,,,,Fees,,,,checked,,9
2387-2392,2387,2392,Products Liability,2019-03-13,JRG,DJ,,,,1,,checked,,,,Fees,,,,checked,,0
2391-127,2391,127,Products Liability,2012-12-05,RLL,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,checked,26
1871-2131,1871,2131,Products Liability,2012-02-16,CMR,DJ,checked,,,3,1,checked,,checked,,"LeadCounsel,Management,ClassCounsel,Fees,Coordination,Communications",,,"This order signals a new stage of the litigation. Many on the steering committee settled large inventories of claims. So, the court has dissolved the steering committee, and put in place a structure to maintain a document depository for non-settling plaintiffs and reimburse fees and costs. As evidenced by order, 2146, this was contested by another attorney seeking to represent third-party payors.",checked,,10
2391-179,2391,179,Products Liability,2013-01-08,2013-01-08,DJ,,,,,,,,,,Communications,,,,,checked,1
2391-1144,2391,1144,Products Liability,2013-12-26,RLM,DJ,,checked,,4,,,,,,"LeadCounsel,Communications,Management",,,Reappointment of existing PSC,checked,,22
2391-1154,2391,1154,Products Liability,2013-12-30,RLM,DJ,,checked,,4,,,,,,"LeadCounsel,Communications,Management",,,,checked,,23
2391-2806,2391,2806,Products Liability,2014-12-22,RLM,DJ,,checked,,4,,,,,,"LeadCounsel,Management,Communications",,,Reappointment,checked,,23
2391-2909,2391,2909,Products Liability,2015-05-27,RLM,DJ,,checked,,1,1,checked,,,,"Management,LeadCounsel",,checked,Creation of new PSC after master settlement in initial case,checked,,11
2391-2925,2391,2391,Products Liability,2015-06-24,RLM,DJ,,,,1,,,,,,Fees,,,,checked,,5
2391-2929,2391,2929,Products Liability,2015-06-30,RLM,DJ,,,,1,,,,,,"Management,Communications",,,Creates a Plaintiffs' Executive Committee within the PSC,checked,,5
2391-2934,2391,2934,Products Liability,2015-07-14,RLM,DJ,,,,,,,,,,Management,,,,,,2
2151-1430,2151,1430,Products Liability,2011-05-04,JVS,DJ,checked,checked,,5,,checked,,,,"LeadCounsel,Management,Communications,Coordination,ClassCounsel",,,"This order reappoints most counsel to their previously designated positions, pursuant to the reappointment process agreed to the parties at the outset of the litigation. The Court observes that Brian Panish and Stanley Chesney dropped out of the litigation at this point.",checked,,21
2391-3245,2391,3245,Products Liability,2016-10-28,RLM,DJ,,,,1,,,,,,Fees,,,Creates second fee committee after second PSC settles outstanding cases,checked,,4
2418-51,2418,51,Products Liability,2013-07-16,FLW,DJ,,,,2,,checked,,,,"Communications,LeadCounsel",,,,checked,checked,2
2418-126,2418,126,Products Liability,2015-03-04,FLW,DJ,,,,,,,,,,Communications,,,,,,2
2419-82,2419,82,Products Liability,2013-02-15,FDS,DJ,,,,3,,checked,,,,"LeadCounsel,Management,Coordination",,,"Order specifies ""alternates"" for designated counsel that exercise authority when designated counsel says so. I coded them as regular appointments. ",checked,,9
2419-1752,2419,1752,Products Liability,2015-03-25,RWZ,DJ,,,,1,,checked,,,,ProSe,,,Cites similar order in Chinese Drywall -- check that we have ,checked,,1
2151-2151,2151,2151,Products Liability,2012-05-08,JVS,DJ,,checked,,3,2,checked,,,,"LeadCounsel,Management,Coordination,ClassCounsel,Communications",,,"This order reappoints the existing steering committee, but terminates the lead counsel for the foreign plaintiff class action, as well as that attorneys consulting role on issues of foreign law. Other attorneys leading individual cases, like Mark Lanier, ask to leave the steering committee to perform other tasks.",,,0
2151-3399,2151,3399,Products Liability,2013-02-15,JVS,DJ,,,,3,,,,,,"LeadCounsel,Management,Coordination",,,"The Court, finding that the steering committee is moving smoothly, simply reappoints the existing membership to the same roles for the next year.",,,0
2151-3753,2151,3753,Products Liability,2013-06-07,JVS,DJ,,,,1,,checked,checked,,,Fees,,,"This sets out the process for applying for common benefit fees, and it designates Elizabeth Cabraser and Mark Robinson to create the fund.",checked,,2
2151-3830,2151,3830,Products Liability,2013-06-27,JVS,DJ,,,,,,,,,,Management,,,"This order appoints additional counsel to the leadership committee overseeing wrongful death cases. At this point it time, Toyota appears to have settled a class action involving the economic loss claims.",checked,,4
2151-4542,2151,4542,Products Liability,2014-04-07,JVS,DJ,,,,,1,,,,,"LeadCounsel,Management,Coordination",,,"The Court mostly reappoints the existing committee of counsel. In the process, it notes there is no longer a need for a separate committee for economic loss claims in light of the approved class action settled reached in 2013.",checked,,0
2428-244,2428,244,Products Liability,2013-07-18,DPW,DJ,,,,4,,checked,,,checked,"LeadCounsel,Communications,Management,Coordination",,,,checked,,19
2428-245,2428,245,Products Liability,2013-07-18,DPW,DJ,,,,4,,checked,,,checked,"LeadCounsel,Management,Communications,Coordination",,,,checked,,19
2434-103,2434,103,Products Liability,2013-05-22,CS,DJ,,checked,,2,,,,,,"LeadCounsel,Communications",,,,,,4
2434-207,2434,207,Products Liability,2013-07-10,CS,DJ,,,,1,,checked,checked,checked,,Management,,checked,,,,13
2434-960,2434,960,Products Liability,2014-05-07,CS,DJ,,,,,,,,,,Management,,,,,,2
2434-3240,2434,3240,Products Liability,2016-06-20,CS,DJ,,,,,,,,,,LeadCounsel,,,,,,3
2329-79,2329,79,Products Liability,2012-05-03,79,DJ,,checked,,2,,checked,,,checked,,checked,checked,"""Pursuant to Rule 23(g) of the Federal Rules of Civil Procedure, the Court appoints as Co-Lead Counsel:""",,,4
2436-26,2436,26,Products Liability,2013-05-21,LS,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,8
2436-27,2436,27,Products Liability,2013-05-23,LS,DJ,,checked,,2,,,,,,"LeadCounsel,Communications",,,,,checked,3
2440-13,2440,13,Products Liability,2013-07-30,JRG,DJ,,,,,,,,checked,,"LeadCounsel,Communications",,,,,,5
2440-32,2440,32,Products Liability,2013-09-20,JRG,DJ,,,,,,,,,,Management,,,,checked,,11
2440-78,2440,78,Products Liability,2014-01-28,JRG,DJ,,,,,,,,,,Management,,,,checked,,4
2440-414,2440,414,Products Liability,2016-01-15,JRG,DJ,,,,1,,checked,,,,Fees,,,,,,9
2452-157,2452,157,Products Liability,2013-10-21,AJB,DJ,,,,5,,,,,,,,,,,,23
2325-8,2325,8,Products Liability,2012-02-29,JRG,DJ,,checked,,4,,checked,,,checked,"LeadCounsel,Management,Communications",,checked,"CMO sets up a structure for people to apply to, and object to, candidates for the steering committee as well as for liaison counsel. It also creates a structure for non-members to object to stipulations, and if they fail to do so within a short period of time, be bound to those decisions of the committee. In that way, these opt-out provisions limit the practice of non-steering members.",checked,checked,0
2325-84,2325,84,Products Liability,2012-03-29,JRG,DJ,,checked,,4,,checked,,,,"LeadCounsel,Management",,,"After large numbers of attorneys called the court asking whether they were eligible to participate in leadership before their cases had been transferred, the Court issued a clarifying order noting they were eligible to apply so long as they had a pending mesh case in federal court somewhere. It highlights the already sprawling--as opposed to concentrated nature of the litigation predating the MDL's formation.",checked,,0
2325-147,2325,147,Products Liability,2012-04-17,JRG,DJ,,checked,,7,,checked,,,checked,"LeadCounsel,Management,Communications",,,"This order creates both an overarching committee to coordinate plaintiffs across four different MDLs, and also, appoints lead counsel and liaison counsel for plaintiffs and defendants in this MDL. Although there isn't an explicit limit on non-leadership to represent plaintiffs, this order creates an ""opt-out"" option--that is, stipulations negotiated by the committee are binding, unless individual attorneys object in a specified period of time.",checked,checked,9
2495-15,2495,15,Products Liability,2014-01-16,TWT,DJ,,,,5,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,checked,13
2545-243,2545,243,Products Liability,2014-07-31,MFK,DJ,checked,checked,,5,,,,,,"LeadCounsel,Communications,Management",,,,checked,checked,34
2545-244,2545,244,Products Liability,2014-07-31,MFK,DJ,checked,checked,,5,,,,,,"LeadCounsel,Management,Communications",,,Corrected version of CMO 4,checked,checked,35
2545-254,2545,2545,Products Liability,2014-08-13,MFK,DJ,,checked,,12,,checked,,,,"LeadCounsel,Communications",,,Creates one defense liaison counsel and lead counsel for each defendant ,,checked,14
2545-255,2545,255,Products Liability,2014-08-13,MFK,DJ,,,,5,,checked,,,checked,"LeadCounsel,Management,Communications",,,Repeat of amended CMO 4 with contact information included,checked,,34
2545-2923,2545,2923,Products Liability,2018-11-21,MFK,DJ,checked,,,1,,,,,,Fees,,,"""The Court is required to appoint a committee with an odd number of members to avoid potential tie votes, and is not persuaded that the committee needs to be as large as proposed by the Plaintiffs' Steering Committee or even larger, as proposed by one of the applicants.""",,,5
2570-51,2570,51,Products Liability,2014-11-25,TAB,MJ,,checked,,5,,,,,,"LeadCounsel,Communications,Management,Coordination",,,,checked,checked,12
2575-113,2575,113,Products Liability,2015-06-25,RMD,DJ,checked,checked,checked,2,,checked,,,checked,"ClassCounsel,LeadCounsel,Communications",checked,,,checked,,6
2575-489,2575,2575,Products Liability,2017-03-06,RMW,DJ,,,,1,,checked,,,,Communications,,,,checked,,0
2590-27,2590,27,Products Liability,2015-03-05,JBG,DJ,checked,,checked,2,,checked,,,checked,"LeadCounsel,Communications",,,,checked,,4
2592-38,2592,38,Products Liability,2015-01-16,EEF,DJ,checked,checked,,1,,checked,,,,Communications,,,,,,2
2592-39,2592,39,Products Liability,2015-10-02,EEF,DJ,,,,1,,checked,,,,Communications,,,,,checked,1
2592-150,2592,150,Products Liability,2015-02-03,EEF,DJ,,checked,,,,,,,,LeadCounsel,,,,,checked,2
2592-169,2592,169,Products Liability,2015-02-09,EFF,DJ,checked,checked,,5,,checked,,,checked,"LeadCounsel,Management,Communications,Coordination",,,,,,16
2592-830,2592,830,Products Liability,2015-04-29,EFF,DJ,,,,,,,,,,Management,,,,checked,,3
2592-1314,2592,1314,Products Liability,2015-09-24,EFF,DJ,,,,,,,,,,Management,,,,checked,,3
2606-9,2606,9,Products Liability,2015-04-30,RBK,DJ,,,,2,,,,,,Communications,,,,checked,checked,2
2606-18,2606,18,Products Liability,2015-05-20,RBK,DJ,,checked,,2,,,,,,Management,,,,checked,,21
2606-21,2606,21,Products Liability,2015-05-22,RBK,DJ,,,,1,,checked,,,,Fees,,,Directs PSC to create a Time and Expense Committee,,,0
2606-1148,2606,1148,Products Liability,2017-08-22,RBK,DJ,,,,1,,checked,checked,,,ProSe,,,,checked,,1
2606-1223,2606,1223,Products Liability,2019-04-04,RBK,DJ,,checked,,,,checked,checked,,,Fees,,,,checked,,9
2599-393,2599,393,Products Liability,2015-03-17,MD,DJ,checked,checked,,4,,checked,,,checked,"LeadCounsel,Management",,,Separates cases into PI and economic loss classes,,,6
2599-1798,2599,1798,Products Liability,2017-06-12,MD,DJ,,,checked,1,,checked,,,,"SettlementAdministration,ClassCounsel",checked,checked,,,,1
2599-1799,2599,1799,Products Liability,2017-06-12,MD,DJ,,,checked,1,,checked,,,,"ClassCounsel,SettlementAdministration",checked,checked,,checked,,6
2599-1800,2599,1800,Products Liability,2017-06-12,MD,DJ,,,checked,1,,checked,,,,"ClassCounsel,SettlementAdministration",checked,checked,,checked,,6
2599-1801,2599,1801,Products Liability,2017-06-12,MD,DJ,,,checked,1,,checked,,,,"ClassCounsel,SettlementAdministration",checked,checked,,checked,,6
2599-2042,2599,2042,Products Liability,2017-09-19,MD,DJ,,,checked,1,,checked,,,,"SettlementAdministration,ClassCounsel",checked,checked,,,,6
2599-2043,2599,2043,Products Liability,2017-09-19,MD,DJ,,,checked,1,,,,,,"ClassCounsel,SettlementAdministration",checked,checked,,checked,,6
